descricao_imovel,aluguel,condominio,total_mensal,iptu,metragem,endereco,bairro,cidade,zona,quartos,banheiros,garagem
"Apartamento com 2 quartos no Bairro Auxiliadora - Porto Alegre, área de 76,31m²,02 vagas de garagem, sala ampla com sacada e churrasuqeira, cozinha com pia, armários, banheiro soci...",2500,1111,3611,192,76,Avenida Nova York, Auxiliadora ,Porto Alegre,Zona Norte,2,1,2
"Apartamento semimobiliado com excelente localização, com fácil acesso ao Bourbon, Panvel, Hospital São Lucas, Escolas e Restaurantes. Fácil acesso para as Avenidas Ipiranga e Av. B...",1600,180,1780,45,58,Rua Portuguesa, Partenon ,Porto Alegre,Zona Sul,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, com fácil acesso ao Zaffari, Panvel, Praça Gustavo Lan...",2800,1019,3819,334,94,Rua Carlos Gardel, Bela Vista ,Porto Alegre,Centro,2,1,0
"Apartamento para Aluguel - Menino Deus, 2 Quartos, 60 m2. Sobre o imóvel: Ótimo apartamento 2 dormitórios com excelente orientação solar, recentemente reformado, com vaga de garage...",2000,455,2455,100,60,Rua José de Alencar, Menino Deus ,Porto Alegre,Centro,2,1,1
"Apartamento para Aluguel - Menino Deus, 2 Quartos, 60 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1490 - Condomínio: R$ 320 - IPTU: R$ 92  Que tal agendar uma visita? Entre em con...",1490,320,1810,92,60,Rua Almirante Gonçalves, Menino Deus ,Porto Alegre,Centro,2,1,1
"Apartamento para Aluguel - Tristeza, 2 Quartos, 51 m2. Sobre o imóvel: Apartamento no bairro Tristeza de 02 dormitórios, sala, cozinha, banheiro social, bem iluminado e ventilado,...",2000,500,2500,58,51,Rua General Rondon, Tristeza ,Porto Alegre,Zona Sul,2,1,1
"Leindecker Imóveis aluga apartamento com 75 m² localizado no bairro Santa Cecília, fundos. Imóvel possui 2 dormitórios, living integrado a sala de jantar, banheiro social, cozinha,...",1200,236,1436,0,75,Não Informado, Santa Cecília ,Porto Alegre,Centro,2,1,0
"Apartamento para Aluguel - Cristal , 2 Quartos, 54 m2. Sobre o imóvel: Apartamento em ótimo estado, cozinha com armários planejados e banheiro recém reformados, janelas em alumínio...",1250,305,1555,32,54,Beco A, Cristal ,Porto Alegre,Zona Sul,2,1,0
"Apartamento para Aluguel - Passo D'areia, 2 Quartos, 65 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 4250 - Condomínio: R$ 700 - IPTU: R$ 139  Que tal agendar uma visita? Entre em...",4250,700,4950,139,65,Acesso C, Passo dAreia ,Porto Alegre,Zona Norte,2,2,1
"Apartamento para Aluguel - Santa Tereza , 3 Quartos, 74 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1200 - Condomínio: R$ 150 - IPTU: R$ 55  Que tal agendar uma visita? Entre em c...",1200,150,1350,55,74,Avenida Jacuí, Santa Tereza ,Porto Alegre,Zona Sul,3,1,1
"Apartamento para Aluguel - Menino Deus, 3 Quartos, 76 m2. Sobre o imóvel: Apto com ótima localização, janela do quarto casal e da sala são viidros com antirruído, bloqueando 90% do...",1751,220,1971,80,76,Avenida Getúlio Vargas, Menino Deus ,Porto Alegre,Centro,3,2,0
"Apartamento com excelente localização, próximo a Arena do Grêmio. Com fácil acesso para a Avenida Padre Leopoldo Brentano. São 90m² distribuídos em 02 dormitórios, living 02 ambien...",1600,286,1886,157,80,Rua Airton Ferreira da Silva, Farrapos ,Porto Alegre,Zona Norte,2,1,0
"Apartamento para Aluguel - Sarandi, 3 Quartos, 76 m2. Sobre o imóvel: Apartamento com ótima localização próximo a mercado, shopping e escola. Posição solar da tarde. Com box cobert...",1260,450,1710,75,76,Travessa A, Sarandi ,Porto Alegre,Zona Norte,3,1,1
"Apartamento para Aluguel - Cristal , 2 Quartos, 56 m2. Sobre o imóvel: Aconchegante apartamento para alugar, todo reformado, com excelente localização perto do Barra Shopping e jun...",1000,387,1387,0,56,Avenida Taquary, Cristal ,Porto Alegre,Zona Sul,2,1,1
"Apartamento para Aluguel - Rubem Berta, 2 Quartos, 42 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 900 - Condomínio: R$ 200 - IPTU: R$ 11  Que tal agendar uma visita? Entre em cont...",900,200,1100,11,42,Rua A, Rubem Berta ,Porto Alegre,Zona Norte,2,1,1
"Leindecker Imóveis aluga apartamento com 74m², localizado no bairro Cristo Redentor. Imóvel mobiliado com 02 dormitórios sendo 01 Suíte, living, churrasqueira, cozinha com armários...",2200,650,2850,0,77,Não Informado, Cristo Redentor ,Porto Alegre,Zona Norte,2,2,1
"Apartamento para Aluguel - Bom Jesus, 2 Quartos, 76 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1273 - Condomínio: R$ 232 - IPTU: R$ 32  Que tal agendar uma visita? Entre em conta...",1273,232,1505,32,76,Rua Gilda Correa Vieira, Bom Jesus ,Porto Alegre,Zona Leste,2,1,1
"Apartamento para Aluguel - Vila Ipiranga, 2 Quartos, 66 m2. Sobre o imóvel: Apartamento bem ventilado, térreo,de frente, próximo a shoppings e parques.  Valores: - Aluguel: R$ 1400...",1400,225,1625,32,66,Rua Domingos Seguézio, Vila Ipiranga ,Porto Alegre,Zona Norte,2,1,0
"Apartamento para Aluguel - Santana, 2 Quartos, 70 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1530 - Condomínio: R$ 260 - IPTU: R$ 50  Que tal agendar uma visita? Entre em contato...",1530,260,1790,50,70,Rua Luiz Manoel, Santana ,Porto Alegre,Centro,2,2,0
"Apartamento para Aluguel - Sarandi, 2 Quartos, 70 m2. Sobre o imóvel: Apartamento bem arejado e iluminado ,semi mobiliado com armário na cozinha, Incluso armário no banheiro com Bo...",1300,400,1700,39,70,Rua Lindolfo Henke, Sarandi ,Porto Alegre,Zona Norte,2,1,1
"Apartamento com excelente localização, próximo ao Farmácia, Escolas, Mercado. Com fácil acesso para a Avenida Protásio Alves. São 79m² distribuídos em 02 dormitórios com armários e...",1600,810,2410,135,79,Rua Abram Goldsztein, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
